,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4
238,-819.0,1051.0,1888.0,-0.4337923728813559,0.6641989550676167,235.08055245496945,143.0,0.6783216783216783,0.8892644672796106,65.0,220.0,0.0,0.0
69,-819.0,314.0,1175.0,-0.6970212765957446,-1.0530622782255208,-276.6561375394263,143.0,0.7552447552447552,0.8600956610864365,40.0,175.0,0.0,0.0
208,-817.0,1036.0,1881.0,-0.43434343434343436,0.5287866404335224,199.75853716148933,143.0,0.6853146853146853,0.8864647026125626,60.0,230.0,0.0,0.0
115,-812.0,521.0,1333.0,-0.609152288072018,-0.3277491854379415,-99.97579998981053,143.0,0.7412587412587412,0.8691799581118091,45.0,245.0,0.0,0.0
191,-811.0,1167.0,2013.0,-0.40288127173373073,0.5514968321252474,218.42495217892724,143.0,0.7202797202797203,0.8848665530948324,55.0,305.0,0.0,0.0
183,-810.0,986.0,1831.0,-0.4423812124522119,0.4867705863634352,196.18541144648904,143.0,0.7132867132867133,0.8839042568439156,55.0,265.0,0.0,0.0
264,-807.0,498.0,1323.0,-0.6099773242630385,-0.2925273523205517,-69.23373736157363,143.0,0.6573426573426573,0.890975412050797,70.0,190.0,0.0,0.0
214,-797.0,1200.0,2025.0,-0.39358024691358023,0.7403581402954017,310.7428407338277,143.0,0.6853146853146853,0.8892440244580323,60.0,260.0,0.0,0.0
278,-790.0,841.0,1649.0,-0.4790782292298363,0.35491511845063506,120.91644164902806,143.0,0.6643356643356644,0.8944837718712435,70.0,260.0,0.0,0.0
32,-785.0,150.0,973.0,-0.8067831449126414,-1.605684908365389,-369.6268427902496,143.0,0.7762237762237763,0.8521378790732718,35.0,150.0,0.0,0.0
222,-778.0,1406.0,2212.0,-0.35171790235081374,0.7833314443662978,324.3883812161605,143.0,0.6923076923076923,0.8928817293129561,60.0,300.0,0.0,0.0
70,-777.0,356.0,1175.0,-0.6612765957446809,-0.9307757214279496,-245.91684922814704,143.0,0.7552447552447552,0.8672702425691835,40.0,180.0,0.0,0.0
2,-774.0,217.0,1048.0,-0.7385496183206107,-1.2861624504563354,-287.52379011528006,143.0,0.7972027972027972,0.8436363636363636,30.0,160.0,0.0,0.0
261,-770.0,248.0,1101.0,-0.6993642143505904,-0.8751695434941678,-195.04332843929618,143.0,0.6503496503496503,0.894808743169399,70.0,175.0,0.0,0.0
236,-765.0,1067.0,1850.0,-0.4135135135135135,0.6788687300715622,242.37737194836714,143.0,0.6783216783216783,0.8965657111952408,65.0,210.0,0.0,0.0
