,最后收益,最大收益,模拟最大回撤,赢撤率,夏普率,平均收益,开仓次数,胜率,盈亏比,参数1,参数2,参数3,参数4,参数5,s_time,e_time
90,535.0,676.0,287.0,1.8641114982578397,1.4014750776688367,302.9705267185308,53.0,0.6226415094339622,1.3396825396825398,40.0,120.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
91,534.0,707.0,1082.0,0.49353049907578556,0.4379216603037964,116.04509628873868,126.0,0.6349206349206349,1.1088463106400326,60.0,170.0,260.0,10.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
92,527.0,746.0,421.0,1.2517814726840855,1.0516380745239204,272.468435148578,75.0,0.6,1.2070726915520629,60.0,110.0,260.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
93,524.0,694.0,316.0,1.6582278481012658,1.4261380971117215,296.75944394847596,53.0,0.6415094339622641,1.278575225943647,50.0,160.0,290.0,16.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
94,513.0,850.0,861.0,0.5958188153310104,1.2170285193736505,273.78907027164905,116.0,0.646551724137931,1.1098736346112659,60.0,170.0,270.0,10.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
95,505.0,591.0,465.0,1.086021505376344,0.8540624959125309,167.84002040556052,63.0,0.6349206349206349,1.2599073597529593,40.0,140.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
96,504.0,879.0,575.0,0.8765217391304347,2.321253829137723,383.4143093993113,102.0,0.6274509803921569,1.1223597960670064,60.0,170.0,270.0,18.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
97,503.0,594.0,566.0,0.8886925795053003,0.6688150600308427,144.18194107894402,75.0,0.5866666666666667,1.206740649404028,50.0,110.0,260.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
98,502.0,882.0,650.0,0.7723076923076924,0.9385142696405143,246.67122815967352,118.0,0.6610169491525424,1.12692793931732,40.0,170.0,260.0,18.0,2.0,2015-01-01 09:15:00,2016-01-01 09:15:00
99,499.0,599.0,387.0,1.2894056847545219,1.5078607737574627,261.32017599795944,63.0,0.5714285714285714,1.2429406037000974,50.0,110.0,270.0,18.0,1.0,2015-01-01 09:15:00,2016-01-01 09:15:00
